no,co,s,l,r,b,le,sa,t,ra,si
10.213,10,"['r', 'l']","[[[[43, 3], [103, 3]], '66-110']]","[[[[64, 2]], '66-154'], [[[66, 2]], '66-154']]",[],U,,['SP'],4.4,37
10.26,10,['b'],[],[],"[[[[40, 8], [100, 8]], '66-0064']]",U,,['SP'],5.3,25.5
10.27,10,['b'],[],[],"[[[[40, 8], [100, 8]], '66-0044']]",U,,['SP'],5.3,25.5
10.29,10,['b'],[],[],"[[[[40, 8], [100, 8]], '66-0064']]",U,,['SP'],5.3,25.5
10.301,10,"['r', 'l']","[[[[38, 3], [98, 3]], '66-110']]","[[[[8, 2]], '66-144'], [[[6, 2]], '66-144']]",[],U,,['SP'],6,38
10.32,10,['l'],"[[[[33, 3], [93, 3]], '66-110']]",[],[],U,,['SP'],5.5,28
10.333,10,"['l', 'r']","[[[[44, 3], [104, 3]], '4-231']]","[[[[74, 2]], '4-257']]",[],U,,['SP'],6.1,7
10.37,10,"['r', 'l']","[[[[6, 2], [126, 2]], '66-110']]","[[[[66, 2]], '66-144']]",[],U,,['SP'],5.6,46
10.39,10,['l'],"[[[[9, 4], [69, 4]], '3-133']]",[],[],U,2.6,['SP'],5.6,27
10.392,10,['l'],"[[[[9, 4], [69, 4]], '3-133']]",[],[],G,"2.62, 22.40",['SP'],5.6,27
10.407,10,['l'],"[[[[10, 3], [70, 3]], '66-168']]",[],[],G,2.916,['SP'],6.7,28
10.421,10,['l'],"[[[[36, 3], [96, 3]], '1-135']]",[],[],U,"1.067, IDS.065",['SP'],0,0
10.426,10,['l'],"[[[[36, 3], [96, 3]], '66-144']]",[],[],U,,['SP'],6,27
10.49,10,['l'],"[[[[6, 2], [66, 2], [126, 2]], '26-142']]",[],[],U,,"['FA', 'SP']",4.5,30.2
10.494A,10,['l'],"[[[[6, 2], [66, 2], [126, 2]], '66-168']]",[],[],U,,['SP'],6,10
10.494B,10,['l'],"[[[[4, 2], [64, 2], [124, 2]], '66-168']]",[],[],U,,['SP'],6.5,14
10.53,10,['l'],"[[[[36, 3], [96, 3]], '66-148']]",[],[],G,7.548,['SP'],6.9,15
10.535,10,['l'],"[[[[33, 3], [93, 3]], '66-154']]",[],[],G,20.535,['SP'],0,0
10.537,10,['l'],"[[[[40, 3], [100, 3]], '4-237']]",[],[],G,"2.798, 3.971, 6.524, 20.410","['FA', 'SP']",0,0
10.551,10,['l'],"[[[[33, 3], [93, 3]], '56-114']]",[],[],G,,['SP'],4.2,33.5
10.562,10,['l'],"[[[[10, 3], [70, 3]], '46-5313']]",[],[],G,"9.271, HST.562",['SP'],6.8,5
10.569,10,['l'],"[[[[42, 3], [102, 3]], '66-154']]",[],[],G,,['SP'],6.2,20
10.571,10,['l'],"[[[[43, 3], [103, 3]], '1-134']]",[],[],G,12.806,['SP'],5.5,4
10.621,10,['l'],"[[[[36, 3], [96, 3]], '1-135']]",[],[],G,"1.670, IDS.521",['SP'],0,0
10.626,10,['l'],"[[[[36, 3], [96, 3]], '66-144']]",[],[],G,,['SP'],6,27
10.65,10,['l'],"[[[[2, 4], [62, 4]], '66-110']]",[],[],G,,['SP'],5.2,52.5
10.7003,10,"['b', 'r', 'l']","[[[[40, 2]], '68-181']]","[[[[36, 3]], '68-181']]","[[[[42, 6], [100, 8]], '68-074']]",U,7.003,"['FA', 'SP']",0,0
10.792,10,['l'],"[[[[16, 4]], 'E62-223']]",[],[],G,"2.890, 15.792, 16.985","['FA', 'SP']",4.5,49.8
10.8,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.807,10,"['l', 'b']","[[[[44, 4]], '4-261']]",[],"[[[[123, 6]], '4-261']]",G,"2.907, 15.371","['FA', 'SP']",6.3,13.7
10.81,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.82,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.83,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.84,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.85,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.86,10,[],[],[],[],G,,"['FA', 'SP']",0,0
10.87,10,[],[],[],[],G,,"['FA', 'SP']",0,0
10.9,10,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
10.91,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10.911,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10.912,10,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
10.951,10,['l'],"[[[[32, 3]], '66-319']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
10.952,10,['l'],"[[[[122, 3]], '66-360']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
10.953,10,['l'],"[[[[98, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.954,10,['l'],"[[[[42, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.955,10,['l'],"[[[[64, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.956,10,['l'],"[[[[74, 4]], '66-480']]",[],[],G,,"['FA', 'SP']",0,0
10.957,10,['l'],"[[[[62, 4]], '46-5305']]",[],[],G,,"['FA', 'SP']",0,0
10.958,10,['l'],"[[[[16, 4]], '66-319']]",[],[],G,,"['FA', 'SP']",0,0
10.96,10,['l'],"[[[[74, 4]], '56-114']]",[],[],G,3.903,"['FA', 'SP']",5.9,35
10.962,10,['l'],"[[[[61, 4]], '56-614']]",[],[],G,,"['FA', 'SP']",0,0
10.963,10,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
10.964,10,['l'],"[[[[6, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.965,10,['l'],"[[[[32, 4]], '76-258']]",[],[],G,,"['FA', 'SP']",0,0
10.966,10,['l'],"[[[[68, 4]], '76-659']]",[],[],G,,"['FA', 'SP']",0,0
10.967,10,['l'],"[[[[122, 4]], '66-319']]",[],[],G,,"['FA', 'SP']",0,0
10.968,10,['l'],"[[[[42, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.969,10,['l'],"[[[[72, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.97,10,['l'],"[[[[70, 4]], '66-360']]",[],[],G,,"['FA', 'SP']",0,0
10.971,10,['l'],"[[[[106, 4]], 'E17-517']]",[],[],G,,"['FA', 'SP']",0,0
10.973,10,[],[],[],[],G,,"['FA', 'SP']",0,0
10.974,10,['l'],"[[[[108, 4]], '66-110']]",[],[],G,,"['FA', 'SP']",0,0
10.975,10,['l'],"[[[[38, 4]], '76-559'], [[[68, 4]], '66-480']]",[],[],G,,"['FA', 'SP']",0,0
10.976,10,['l'],"[[[[106, 4]], '66-319']]",[],[],G,,"['FA', 'SP']",0,0
10.977,10,['l'],"[[[[78, 4]], '66-480']]",[],[],G,,"['FA', 'SP']",0,0
10.978,10,['l'],"[[[[17, 4]], '66-480']]",[],[],G,,"['FA', 'SP']",0,0
