no,co,s,l,r,b,le,sa,t,ra,si
21H.132,21H,"['r', 'l']","[[[[8, 2], [68, 2]], '4-159']]","[[[[98, 2]], '4-257'], [[[130, 2]], '56-169']]",[],U,,['SP'],5.6,25
21H.141,21H,['l'],"[[[[12, 3], [72, 3]], '4-253']]",[],[],U,,['SP'],6,8
21H.144,21H,['l'],"[[[[43, 3], [103, 3]], '1-379']]",[],[],U,21G.087,['SP'],0,0
21H.152,21H,['l'],"[[[[15, 3], [75, 3]], '1-190']]",[],[],U,,['SP'],6.4,14
21H.154,21H,['l'],"[[[[36, 3], [96, 3]], '66-156']]",[],[],U,,['SP'],7,7
21H.161,21H,"['r', 'l']","[[[[8, 2], [68, 2]], '66-168']]","[[[[104, 2]], '4-144'], [[[102, 2]], '4-146']]",[],U,,['SP'],6.7,25.5
21H.165,21H,['l'],"[[[[33, 3], [93, 3]], '4-144']]",[],[],U,,['SP'],7,5
21H.173,21H,['l'],"[[[[13, 3], [73, 3]], '66-154']]",[],[],U,,['SP'],0,0
21H.181,21H,['l'],"[[[[34, 3], [94, 3]], 'E51-385']]",[],[],U,17.035,['SP'],6.6,17
21H.185,21H,['l'],"[[[[67, 3], [127, 3]], 'E51-385']]",[],[],U,"12.386, STS.031",['SP'],6.2,13.3
21H.186,21H,['l'],"[[[[40, 6]], 'E51-390']]",[],[],U,,['SP'],0,0
21H.213,21H,['l'],"[[[[12, 6]], '56-191']]",[],[],U,17.28,['SP'],0,0
21H.217,21H,['l'],"[[[[42, 4]], '9-217']]",[],[],U,11.013,['SP'],6.1,21.3
21H.240,21H,['l'],"[[[[3, 3], [63, 3]], 'E51-385']]",[],[],U,,['SP'],6.2,15
21H.241,21H,['l'],"[[[[42, 3], [102, 3]], '4-253']]",[],[],U,21G.054,['SP'],6,11
21H.282,21H,['l'],"[[[[14, 4], [76, 2]], '14N-112']]",[],[],U,,['SP'],0,0
21H.283,21H,['l'],"[[[[10, 4], [74, 2]], '5-231']]",[],[],U,,"['FA', 'SP']",0,0
21H.330,21H,['l'],"[[[[33, 3], [93, 3]], '56-191']]",[],[],U,,['SP'],0,0
21H.331,21H,['l'],"[[[[45, 3], [105, 3]], '56-191']]",[],[],U,,['SP'],6.8,8
21H.343,21H,['l'],"[[[[45, 3], [105, 3]], '14N-112']]",[],[],U,CC.120,"['FA', 'SP']",6.4,11.3
21H.352,21H,['l'],"[[[[40, 3], [100, 3]], '14E-310']]",[],[],U,21G.042,['SP'],0,0
21H.354,21H,['l'],"[[[[70, 6]], '2-103']]",[],[],U,,['SP'],6,6
21H.358,21H,['l'],"[[[[66, 4]], 'E51-390']]",[],[],U,,['SP'],6,5
21H.365,21H,['l'],"[[[[124, 6]], '2-103']]",[],[],U,,['SP'],6.5,7
21H.382,21H,['l'],"[[[[102, 6]], 'E51-285']]",[],[],U,,['SP'],0,0
21H.383,21H,['l'],"[[[[92, 6]], 'E51-285']]",[],[],U,,['SP'],6.8,7.5
21H.392,21H,[],[],[],[],U,,['SP'],0,0
21H.958,21H,['l'],"[[[[66, 4]], 'E51-390']]",[],[],G,,['SP'],6,5
21H.982,21H,['l'],"[[[[92, 6]], 'E51-285']]",[],[],G,,['SP'],6.8,7.5
21H.984,21H,['l'],"[[[[64, 6]], 'E51-393']]",[],[],G,STS.414,['SP'],6.3,7
21H.992,21H,[],[],[],[],G,,"['FA', 'SP']",0,0
21H.993,21H,[],[],[],[],G,,"['FA', 'SP']",0,0
21H.999,21H,[],[],[],[],G,,"['FA', 'SP']",0,0
21H.S04,21H,['l'],"[[[[122, 4]], 'E51-285']]",[],[],U,,['SP'],0,0
21H.THT,21H,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21H.THU,21H,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
21H.UR,21H,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21H.URG,21H,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21L.000,21L,['l'],"[[[[14, 3], [74, 3]], '14N-325']]",[],[],U,21W.041,"['FA', 'SP']",6.3,17
21L.003,21L,['l'],"[[[[45, 3], [105, 3]], '2-103']]",[],[],U,,"['FA', 'SP']",5.9,9.5
21L.004,21L,['l'],"[[[[40, 3], [100, 3]], '1-246']]",[],[],U,,"['FA', 'SP']",6.3,21.2
21L.008,21L,['l'],"[[[[42, 6]], 'E15-466']]",[],[],U,"24.912, 21H.106, 21W.741, CMS.150, WGS.190",['SP'],6.4,16
21L.009,21L,['l'],"[[[[33, 3], [93, 3]], '2-103']]",[],[],U,,['SP'],5.8,9.2
21L.011,21L,"['l', 'b', 'r']","[[[[45, 3]], '3-270']]","[[[[104, 2]], '1-273'], [[[106, 2]], '1-273']]","[[[[22, 6]], '3-270']]",U,,"['FA', 'SP']",5.8,33.4
21L.015,21L,['l'],"[[[[11, 3], [71, 3]], '4-257']]",[],[],U,,"['FA', 'SP']",6.5,16.8
21L.019,21L,['l'],"[[[[15, 3], [75, 3]], '56-167']]",[],[],U,,"['FA', 'SP']",0,0
21L.021,21L,['l'],"[[[[44, 3], [104, 3]], '4-249']]",[],[],U,,['SP'],6.1,16.3
21L.025,21L,['l'],"[[[[36, 3], [96, 3]], '2-103']]",[],[],U,,['SP'],0,0
21L.310,21L,['l'],"[[[[37, 3], [97, 3]], '5-232']]",[],[],U,,['SP'],6.5,7.3
21L.325,21L,['l'],"[[[[6, 3]], '66-154']]",[],[],U,,['SP'],6.4,12
21L.355,21L,['l'],"[[[[37, 3], [97, 3]], '5-232']]",[],[],U,,['SP'],6.8,7
21L.432,21L,['l'],"[[[[82, 6]], '4-253']]",[],[],U,,['SP'],0,0
21L.433,21L,['l'],"[[[[112, 6]], '1-273']]",[],[],U,,['SP'],6,7.3
21L.434,21L,['l'],"[[[[40, 3], [100, 3]], '14N-112']]",[],[],U,,['SP'],6.5,13
21L.435,21L,['l'],"[[[[40, 3], [100, 3]], '1-375']]",[],[],U,,"['FA', 'SP']",6.3,10
21L.451,21L,['l'],"[[[[42, 3], [102, 3]], '56-167']]",[],[],U,,['SP'],6.6,6.5
21L.455,21L,['l'],"[[[[6, 3], [66, 3]], '2-103']]",[],[],U,,['SP'],0,0
21L.457,21L,['l'],"[[[[33, 3], [93, 3]], '1-135']]",[],[],U,,['SP'],0,0
21L.480,21L,['l'],"[[[[3, 3], [63, 3]], '2-135']]",[],[],U,WGS.245,['SP'],6.9,15
21L.485,21L,['l'],"[[[[44, 3], [104, 3]], '4-146']]",[],[],U,,['SP'],0,0
21L.486,21L,['l'],"[[[[36, 3], [96, 3]], '14N-325']]",[],[],U,,['SP'],0,0
21L.487,21L,['l'],"[[[[40, 3], [100, 3]], '2-103']]",[],[],U,,['SP'],0,0
21L.512,21L,['l'],"[[[[44, 3], [104, 3]], '1-242']]",[],[],U,,['SP'],6.8,16.5
21L.609,21L,['l'],"[[[[16, 2], [76, 2]], '1-246']]",[],[],U,,['SP'],7,4
21L.610,21L,['l'],"[[[[16, 2], [76, 2]], '1-246']]",[],[],U,,['SP'],7,2
21L.611,21L,['l'],"[[[[10, 3], [70, 3]], '14N-112']]",[],[],U,,['SP'],6.3,11
21L.612,21L,['l'],"[[[[10, 3], [70, 3]], '14N-112']]",[],[],U,,['SP'],6.3,9
21L.640,21L,['l'],"[[[[52, 6]], '14N-325']]",[],[],U,21G.740,['SP'],6.6,10
21L.702,21L,['l'],"[[[[10, 3], [70, 3]], '56-167']]",[],[],U,,"['FA', 'SP']",6.6,6.5
21L.703,21L,['l'],"[[[[45, 3], [105, 3]], '4-253']]",[],[],U,,['SP'],6.8,5.5
21L.704,21L,['l'],"[[[[52, 6]], '2-103']]",[],[],U,,"['FA', 'SP']",6.7,8.8
21L.706,21L,['l'],"[[[[36, 3], [96, 3]], '4-253']]",[],[],U,,"['FA', 'SP']",6.8,5.2
21L.707,21L,['l'],"[[[[37, 3], [97, 3]], '4-144']]",[],[],U,,"['FA', 'SP']",6.3,6.5
21L.UR,21L,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21L.URG,21L,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.011,21M,"['r', 'l']","[[[[75, 3]], '4-270']]","[[[[10, 2], [130, 2]], '4-162'], [[[14, 2], [134, 2]], '4-162'], [[[12, 2], [132, 2]], '4-162'], [[[46, 2], [106, 2]], '4-152']]",[],U,,"['FA', 'SP']",6,44.8
21M.030,21M,['l'],"[[[[6, 3], [66, 3]], '4-364'], [[[3, 3], [63, 3]], '4-364'], [[[36, 3], [96, 3]], '4-158']]",[],[],U,,"['FA', 'SP']",6.3,60
21M.051,21M,"['l', 'b']","[[[[52, 3], [112, 3]], '4-152'], [[[42, 3], [102, 3]], '4-162'], [[[45, 3], [105, 3]], '4-162']]",[],"[[[[130, 2]], '4-270']]",U,,"['FA', 'SP']",6.6,62.2
21M.065,21M,['l'],"[[[[9, 3], [69, 3]], '4-158']]",[],[],U,,['SP'],6.1,14.2
21M.080,21M,['l'],"[[[[9, 3], [69, 3]], '4-364']]",[],[],U,,"['FA', 'SP']",6.3,19
21M.226,21M,['l'],"[[[[15, 3], [75, 3]], '4-152']]",[],[],U,,"['FA', 'SP']",6.4,17
21M.250,21M,['l'],"[[[[42, 3], [102, 3]], '4-158']]",[],[],U,,['SP'],6.9,9.5
21M.260,21M,['l'],"[[[[39, 3], [99, 3]], '4-158']]",[],[],U,,['SP'],6.8,5
21M.271,21M,['l'],"[[[[12, 3], [72, 3]], '4-152']]",[],[],U,,['SP'],0,0
21M.284,21M,['l'],"[[[[45, 3], [105, 3]], '4-364']]",[],[],U,,['SP'],6.1,15
21M.292,21M,['l'],"[[[[132, 6]], 'N52-199']]",[],[],U,,['SP'],6.6,7
21M.293,21M,['l'],"[[[[39, 6]], 'N52-199']]",[],[],U,,['SP'],6.8,13.7
21M.295,21M,['l'],"[[[[36, 3], [96, 3]], '4-364']]",[],[],U,,['SP'],6.3,16
21M.301,21M,"['l', 'b']","[[[[15, 3], [75, 3]], '4-364'], [[[12, 3], [72, 3]], '4-364'], [[[39, 3], [99, 3]], '4-162'], [[[36, 3], [96, 3]], '4-162']]",[],"[[[[132, 2]], '4-270']]",U,,"['FA', 'SP']",6.6,80
21M.302,21M,"['b', 'l']","[[[[42, 3], [102, 3]], '4-152'], [[[45, 3], [105, 3]], '4-158']]",[],"[[[[106, 2]], '4-270'], [[[136, 2]], '4-364']]",U,,"['FA', 'SP']",6.6,28.8
21M.303,21M,"['l', 'b']","[[[[36, 3], [96, 3]], '4-152']]",[],"[[[[106, 2]], '4-270'], [[[136, 2]], '4-364']]",U,,"['FA', 'SP']",6.7,9.4
21M.340,21M,['l'],"[[[[39, 3], [99, 3]], '4-364']]",[],[],U,,"['FA', 'SP']",6.7,14.7
21M.359,21M,['l'],"[[[[45, 3], [105, 3]], '24-033F']]",[],[],U,,"['FA', 'SP']",6.8,9
21M.361,21M,['l'],"[[[[12, 3], [72, 3]], '24-033F'], [[[42, 3], [102, 3]], '24-033F']]",[],[],U,,"['FA', 'SP']",6.3,31
21M.370,21M,['l'],"[[[[15, 3], [75, 3]], '4-158']]",[],[],U,,['SP'],0,0
21M.385,21M,['l'],"[[[[6, 3], [66, 3]], '4-270']]",[],[],U,6.185,"['FA', 'SP']",6.9,20.6
21M.401,21M,['l'],"[[[[22, 4], [82, 4]], '26-100']]",[],[],U,,"['FA', 'SP']",6.8,25.8
21M.405,21M,['l'],"[[[[33, 3], [93, 3]], '14W-111']]",[],[],U,,"['FA', 'SP']",6.4,6.2
21M.410,21M,['l'],"[[[[42, 3], [102, 3]], '4-364']]",[],[],U,,['SP'],6.5,3
21M.421,21M,['l'],"[[[[53, 5], [113, 5]], 'KRESGE']]",[],[],U,,"['FA', 'SP']",6.5,39.6
21M.426,21M,['l'],"[[[[22, 5], [82, 5]], 'KRESGE']]",[],[],U,,"['FA', 'SP']",6.9,22.4
21M.442,21M,['l'],"[[[[48, 4], [108, 4]], '14W-111']]",[],[],U,,"['FA', 'SP']",7,12.8
21M.445,21M,['l'],"[[[[52, 6]], '14W-111'], [[[82, 6]], '24-033F']]",[],[],U,,"['FA', 'SP']",6.7,64.6
21M.450,21M,['l'],"[[[[45, 3], [105, 3]], 'N52-199']]",[],[],U,,"['FA', 'SP']",6.6,5.3
21M.451,21M,[],[],[],[],U,,"['FA', 'SP']",6.8,5.3
21M.460,21M,['l'],"[[[[25, 27], [55, 27]], 'N52-199'], [[[22, 3], [112, 3]], 'N52-199']]",[],[],U,,"['FA', 'SP']",6.9,36.6
21M.470,21M,['l'],"[[[[45, 3], [105, 3]], 'W16-RRA']]",[],[],U,,"['FA', 'SP']",7,4
21M.480,21M,['l'],"[[[[18, 4]], '14W-111'], [[[78, 4]], '14W-111']]",[],[],U,,"['FA', 'SP']",6.7,14.2
21M.490,21M,[],[],[],[],U,,['SP'],7,6
21M.512,21M,['l'],"[[[[18, 4]], '14W-111'], [[[78, 4]], '14W-111']]",[],[],G,,"['FA', 'SP']",6.7,14.2
21M.515,21M,['l'],"[[[[42, 3], [102, 3]], '4-364']]",[],[],G,,['SP'],6.5,3
21M.525,21M,[],[],[],[],G,,['SP'],7,6
21M.531,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.533,21M,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
21M.600,21M,['l'],"[[[[36, 4], [96, 4]], 'W16-RRB'], [[[14, 4], [74, 4]], 'W97-269'], [[[10, 4], [70, 4]], 'W97-269'], [[[44, 4], [104, 4]], 'W16-RRB'], [[[40, 4], [100, 4]], 'W16-RRB'], [[[6, 4], [66, 4]], 'W97-269']]",[],[],U,,"['FA', 'SP']",6.3,151.6
21M.601,21M,['l'],"[[[[82, 6]], 'W97-261'], [[[52, 6]], 'W97-261'], [[[22, 6]], 'W97-261']]",[],[],U,,"['FA', 'SP']",6.2,39.4
21M.603,21M,['l'],"[[[[14, 4], [74, 4]], 'W97-261']]",[],[],U,,['SP'],6.8,9
21M.605,21M,['l'],"[[[[44, 4], [104, 4]], '50-201'], [[[10, 4], [70, 4]], '50-201'], [[[40, 4], [100, 4]], '50-201'], [[[36, 4], [96, 4]], '50-201']]",[],[],U,,"['FA', 'SP']",6.6,52.8
21M.606,21M,['l'],"[[[[36, 4], [96, 4]], 'W97-160']]",[],[],U,,['SP'],6.4,13
21M.607,21M,['l'],"[[[[72, 6]], '4-251']]",[],[],U,21W.774,['SP'],0,0
21M.623,21M,['l'],"[[[[44, 4], [104, 4]], 'W97-160']]",[],[],U,,"['FA', 'SP']",6.8,23
21M.645,21M,['l'],"[[[[6, 3], [66, 3]], 'W97-160']]",[],[],U,,"['FA', 'SP']",6.5,36.6
21M.702,21M,['l'],"[[[[12, 6]], 'W97-162']]",[],[],U,,['SP'],0,0
21M.705,21M,['l'],"[[[[40, 4], [100, 4]], 'W16-RRA']]",[],[],U,,['SP'],6.9,7
21M.710,21M,['l'],"[[[[22, 6]], 'W97-269']]",[],[],U,,"['FA', 'SP']",6.8,17
21M.711,21M,['l'],"[[[[22, 6]], 'W97-165']]",[],[],U,,['SP'],6.5,10
21M.712,21M,['l'],"[[[[40, 4], [100, 4]], 'W97-162']]",[],[],U,,['SP'],0,0
21M.734,21M,['l'],"[[[[22, 6]], 'W97-160']]",[],[],U,,['SP'],6.5,16
21M.785,21M,['l'],"[[[[52, 6]], 'W97-267']]",[],[],U,,['SP'],6.6,7
21M.789,21M,['l'],"[[[[52, 6]], 'W97-267']]",[],[],G,,['SP'],6.6,7
21M.790,21M,['l'],"[[[[82, 6]], 'W97-162']]",[],[],U,,['SP'],7,2
21M.791,21M,['l'],"[[[[82, 6]], 'W97-162']]",[],[],G,,['SP'],7,2
21M.803,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.806,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",6.7,11
21M.809,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.840,21M,['l'],"[[[[52, 6]], 'W97-269']]",[],[],U,,['SP'],6,11
21M.841,21M,['l'],"[[[[52, 6]], 'W97-160']]",[],[],G,,['SP'],6,11
21M.846,21M,['l'],"[[[[132, 6]], 'W97-162']]",[],[],U,,['SP'],6.6,11
21M.847,21M,['l'],"[[[[132, 6]], 'W97-162']]",[],[],G,,['SP'],0,0
21M.851,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.863,21M,['l'],"[[[[52, 6]], 'W97-162']]",[],[],U,,"['FA', 'SP']",7,8
21M.864,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.865,21M,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.THT,21M,[],[],[],[],U,,"['FA', 'JA', 'SP']",0,0
21M.THU,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.UR,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21M.URG,21M,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.011,21W,['l'],"[[[[52, 3], [112, 3]], '8-119']]",[],[],U,,"['FA', 'SP']",5.7,18
21W.015,21W,['l'],"[[[[36, 3], [96, 3]], 'E17-136']]",[],[],U,,['SP'],5.7,17
21W.022,21W,['l'],"[[[[44, 3], [104, 3]], '8-119'], [[[6, 3], [66, 3]], '56-191'], [[[14, 3], [74, 3]], '56-162']]",[],[],U,,"['FA', 'SP']",6.2,45
21W.031,21W,['l'],"[[[[39, 3], [99, 3]], '56-180']]",[],[],U,,"['FA', 'SP']",6,27
21W.036,21W,['l'],"[[[[44, 3], [104, 3]], '56-162']]",[],[],U,,['SP'],5.5,11.7
21W.041,21W,['l'],"[[[[14, 3], [74, 3]], '14N-325']]",[],[],U,21L.000,"['FA', 'SP']",6.3,17
21W.219,21W,['l'],"[[[[18, 3], [78, 3]], '4-249']]",[],[],G,21G.219,"['FA', 'SP']",0,0
21W.222,21W,['l'],"[[[[45, 3], [105, 3]], '1-135']]",[],[],U,21G.222,"['FA', 'SP']",0,0
21W.224,21W,['l'],"[[[[48, 3], [108, 3]], '1-135']]",[],[],G,21G.224,"['FA', 'SP']",0,0
21W.225,21W,['l'],"[[[[33, 3], [93, 3]], '14N-225']]",[],[],G,21G.225,"['FA', 'SP']",0,0
21W.226,21W,['l'],"[[[[33, 3], [93, 3]], '14N-225']]",[],[],U,21G.226,"['FA', 'SP']",0,0
21W.227,21W,['l'],"[[[[2, 3], [62, 3]], '1-277'], [[[9, 3], [69, 3]], '1-242']]",[],[],G,21G.227,['SP'],0,0
21W.228,21W,['l'],"[[[[2, 3], [62, 3]], '1-277'], [[[9, 3], [69, 3]], '1-242']]",[],[],U,21G.228,['SP'],0,0
21W.232,21W,['l'],"[[[[15, 3], [75, 3]], '4-249']]",[],[],G,21G.232,"['FA', 'SP']",0,0
21W.233,21W,['l'],"[[[[15, 3], [75, 3]], '4-249']]",[],[],U,21G.233,"['FA', 'SP']",0,0
21W.237,21W,['l'],"[[[[44, 3], [104, 3]], '1-375']]",[],[],U,21G.237,['SP'],0,0
21W.240,21W,['l'],"[[[[40, 3], [100, 3]], '16-645']]",[],[],U,21G.240,['SP'],0,0
21W.735,21W,['l'],"[[[[44, 3], [104, 3]], '1-277']]",[],[],U,,['SP'],6.6,9
21W.741,21W,['l'],"[[[[42, 6]], 'E15-466']]",[],[],U,"24.912, 21H.106, 21L.008, CMS.150, WGS.190",['SP'],6.4,16
21W.747,21W,['l'],"[[[[44, 3], [104, 3]], 'E17-136']]",[],[],U,,"['FA', 'SP']",6.3,27.6
21W.755,21W,['l'],"[[[[72, 6]], '14E-310'], [[[40, 3], [100, 3]], '66-144']]",[],[],U,,"['FA', 'SP']",6.6,27.4
21W.762,21W,['l'],"[[[[22, 6]], '4-149'], [[[52, 6]], '4-149']]",[],[],U,,"['FA', 'SP']",6.9,23.6
21W.766,21W,['l'],"[[[[44, 3], [104, 3]], '66-144']]",[],[],U,,['SP'],0,0
21W.771,21W,['l'],"[[[[12, 6]], '2-103']]",[],[],U,,"['FA', 'SP']",6.8,8.2
21W.773,21W,['l'],"[[[[40, 3], [100, 3]], '4-144']]",[],[],U,,['SP'],6.7,11
21W.774,21W,['l'],"[[[[72, 6]], '4-251']]",[],[],U,21M.607,['SP'],0,0
21W.777,21W,['l'],"[[[[22, 3], [82, 3]], '14N-112']]",[],[],U,,['SP'],6.5,7
21W.791,21W,['l'],"[[[[112, 6]], 'E38-200']]",[],[],U,CMS.614,['SP'],7,13
21W.792,21W,[],[],[],[],U,,"['FA', 'SP']",0,0
21W.798,21W,[],[],[],[],U,,"['FA', 'SP']",0,0
21W.799,21W,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.823,21W,[],[],[],[],G,,"['FA', 'JA', 'SP']",5.7,8
21W.824,21W,"['b', 'l']","[[[[35, 4]], '14N-112']]",[],"[[[[95, 4]], '14N-112']]",G,,['SP'],4.8,11
21W.826,21W,['l'],"[[[[4, 3], [64, 3]], '14N-112']]",[],[],G,,['SP'],4.2,7.5
21W.892,21W,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.898,21W,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
21W.899,21W,[],[],[],[],G,,"['FA', 'JA', 'SP']",0,0
21W.S96,21W,['l'],"[[[[70, 3]], '4-146']]",[],[],G,,['SP'],0,0
21W.THG,21W,['l'],"[[[[124, 4]], '14N-112']]",[],[],G,,"['FA', 'JA', 'SU', 'SP']",4.8,7.8
21W.THT,21W,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.THU,21W,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.UR,21W,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
21W.URG,21W,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
22,22,"['r', 'l']","[[[[44, 3], [104, 3]], '4-231']]","[[[[74, 2]], '4-257']]",[],U,,['SP'],6.1,7
22.003,22,['l'],"[[[[52, 2]], '3-001']]",[],[],U,,"['FA', 'SP']",0,0
22.011,22,['l'],"[[[[72, 2]], '24-115']]",[],[],U,,['SP'],0,0
22.014,22,['l'],"[[[[44, 4]], '66-148'], [[[82, 4]], '2-151'], [[[74, 4]], '66-148'], [[[14, 4]], '66-148']]",[],[],U,,"['FA', 'SP']",6.2,56.2
22.02,22,"['r', 'l']","[[[[2, 3], [62, 3]], '24-121']]","[[[[132, 4]], '24-121']]",[],U,,['SP'],6.2,11.5
22.022,22,['l'],"[[[[33, 3], [93, 3]], '36-372']]",[],[],U,,['SP'],7,4
22.051,22,['l'],"[[[[3, 3], [63, 3]], '24-115']]",[],[],U,,['SP'],4,2
22.055,22,['l'],"[[[[13, 3], [133, 3]], '24-115']]",[],[],U,,['SP'],6.3,12
22.06,22,"['r', 'l']","[[[[33, 3], [93, 3]], '24-121']]","[[[[126, 2]], '24-112']]",[],U,,['SP'],5.6,6
22.061,22,"['b', 'l']","[[[[6, 3], [66, 3]], '24-112']]",[],"[[[[44, 2]], '24-112']]",U,,['SP'],5.6,15
22.091,22,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
22.093,22,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
22.099,22,[],[],[],[],U,,"['FA', 'SP']",0,0
22.14,22,['l'],"[[[[43, 3], [103, 3]], '24-121']]",[],[],G,,['SP'],4.3,22
22.15,22,"['l', 'r']","[[[[43, 3], [103, 3]], '24-121']]","[[[[42, 1], [102, 1]], '24-121']]",[],G,,['SP'],5.6,19.3
22.16,22,['l'],"[[[[96, 3]], '24-121']]",[],[],G,,['SP'],5,15.5
22.212,22,['l'],"[[[[6, 3], [66, 3]], '24-121']]",[],[],G,,['SP'],6.5,3.7
22.251,22,['l'],"[[[[3, 3], [63, 3]], '24-115']]",[],[],G,,['SP'],4,2
22.4,22,['l'],"[[[[9, 4], [69, 4]], '3-133']]",[],[],G,"2.62, 10.392",['SP'],5.6,27
22.51,22,['l'],"[[[[33, 3], [93, 3]], '36-372']]",[],[],G,8.751,['SP'],7,4
22.55,22,['l'],"[[[[13, 3], [133, 3]], '24-115']]",[],[],G,HST.560,['SP'],6.3,12
22.612,22,['l'],"[[[[39, 3], [99, 3]], 'NW16-213']]",[],[],G,8.614,['SP'],0,0
22.62,22,['l'],"[[[[13, 3], [73, 3]], 'NW16-213']]",[],[],G,,['SP'],6.3,6
22.71,22,['l'],"[[[[3, 3], [63, 3]], '4-261']]",[],[],G,3.4,['SP'],5.5,14
22.75,22,['l'],"[[[[13, 3], [73, 3]], '24-112']]",[],[],G,3.3,['SP'],6.6,9
22.814,22,['l'],"[[[[10, 4]], 'E53-485']]",[],[],G,17.474,['SP'],0,0
22.901,22,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
22.911,22,['l'],"[[[[16, 3]], '24-121'], [[[76, 3]], '24-115'], [[[48, 3]], 'NW17-218']]",[],[],G,,"['FA', 'SP']",0,0
22.93,22,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
22.94,22,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
22.C01,22,['l'],"[[[[126, 2]], '24-115']]",[],[],U,,['SP'],0,0
22.C51,22,['l'],"[[[[126, 2]], '24-115']]",[],[],G,,['SP'],0,0
22.EPE,22,[],[],[],[],U,,"['FA', 'SP']",0,0
22.S092,22,['l'],"[[[[74, 4]], '24-121']]",[],[],U,,['SP'],0,0
22.S094,22,['l'],"[[[[37, 3], [97, 3]], 'NW21-154A']]",[],[],U,,['SP'],0,0
22.THG,22,[],[],[],[],G,,"['FA', 'JA', 'SU', 'SP']",0,0
22.THU,22,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
22.UR,22,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
22.URG,22,[],[],[],[],U,,"['FA', 'JA', 'SU', 'SP']",0,0
24.05,24,"['r', 'l']","[[[[34, 2], [94, 2]], '32-144']]","[[[[124, 2]], '56-167'], [[[126, 2]], '56-167']]",[],U,,['SP'],5.9,23.7
24.09,24,"['r', 'l']","[[[[6, 2], [66, 2]], '32-155']]","[[[[128, 2]], '56-191'], [[[126, 2]], '66-154'], [[[124, 2]], '56-191']]",[],U,,['SP'],5.8,68
24.118,24,"['r', 'l']","[[[[4, 2], [64, 2]], '32-141']]","[[[[124, 2]], '26-142'], [[[76, 2]], '56-180'], [[[128, 2]], '26-142'], [[[126, 2]], '56-162']]",[],U,,['SP'],6,103
24.191,24,['l'],"[[[[52, 3]], '32-D461']]",[],[],U,,['SP'],6.5,23
24.221,24,['l'],"[[[[43, 3], [103, 3]], '32-124']]",[],[],U,,['SP'],6.6,20.5
24.231,24,"['r', 'l']","[[[[36, 2], [96, 2]], '66-160']]","[[[[128, 2]], '66-160'], [[[126, 2]], '66-160']]",[],U,,['SP'],6.5,23.5
24.237,24,['l'],"[[[[52, 6]], '32-124']]",[],[],U,"17.007, WGS.301",['SP'],5.2,17.5
24.242,24,['l'],"[[[[3, 3], [63, 3]], '32-D831']]",[],[],U,,['SP'],6.3,8
24.252,24,['l'],"[[[[35, 3], [95, 3]], '56-180']]",[],[],U,,['SP'],0,0
24.28,24,['l'],"[[[[10, 3], [70, 3]], '56-162']]",[],[],U,,['SP'],4.2,17
24.293,24,[],[],[],[],U,,['SP'],0,0
24.401,24,"['r', 'l']","[[[[34, 6]], '32-D831']]","[[[[124, 6]], '32-D831']]",[],G,,['SP'],3,5
24.5,24,['l'],"[[[[102, 6]], '32-D831']]",[],[],G,,['SP'],0,0
